titel,authorLabel,date,langLabel,publisherLabel,genres,part_of_a_series
The Occupy Handbook,Amy Goodman,2012-01-01T00:00:00Z,English,,non-fiction,N
Creature in the Teacher,Christopher Pike,1996-01-01T00:00:00Z,English,Hodder & Stoughton,children's novel,Y
The Babylon Game,Katherine Roberts,2002-03-04T00:00:00Z,English,HarperCollins,fantasy,Y
Having a Great Birth in Australia,David Vernon,2005-01-01T00:00:00Z,English,Australian College of Midwives,non-fiction,N
Crewel Lye: A Caustic Yarn,Piers Anthony,1984-12-12T00:00:00Z,English,Del Rey Books,fantasy,Y
Ebola '76,Amir Taj al-Sir,2012-01-01T00:00:00Z,English,DARF Publishers,fiction,N
Dark Challenge,Christine Feehan,2000-01-01T00:00:00Z,English,Dorchester Publishing,vampire literature,N
The Plague Court Murders,John Dickson Carr,1934-01-01T00:00:00Z,English,Heinemann,crime fiction,Y
The Trojan Dog,Dorothy Johnston,2000-01-01T00:00:00Z,English,Wakefield Press,crime fiction,N
Budayeen Nights,Barbara Hambly,2003-09-01T00:00:00Z,English,Golden Gryphon Press,"science fiction literature, cyberpunk, novella",N
Skin Game,Jim Butcher,2014-05-27T00:00:00Z,English,,detective fiction,Y
Dominion,C. J. Sansom,2012-10-25T00:00:00Z,English,Macmillan Publishers,"political novel, political thriller, alternate history",N
Stopping at Slowyear,Frederik Pohl,1991-01-01T00:00:00Z,English,Pulphouse Publishing,science fiction,N
The Making of the English Working Class,E. P. Thompson,1963-01-01T00:00:00Z,English,Victor Gollancz Ltd,non-fiction,N
Exegesis,Astro Teller,1997-01-01T00:00:00Z,English,Vintage Contemporaries,email novel,N
Time and Chance,Sharon Kay Penman,2002-01-01T00:00:00Z,English,G. P. Putnam's Sons,historical fiction,N
Nonstop to Portales,Connie Willis,1996-01-01T00:00:00Z,English,,novelette,N
Ghost Story,Jim Butcher,2011-07-26T00:00:00Z,English,Roc Books,"mystery fiction, fantasy",Y
Tik-Tok of Oz,L. Frank Baum,1914-01-01T00:00:00Z,English,Reilly & Britton,fantasy,Y
Subway Art,Henry Chalfant,1984-01-01T00:00:00Z,English,,photography,N
Isaac Asimov's Robot City: Refuge,Rob Chilson,1988-01-01T00:00:00Z,English,,science fiction,Y
Attica,Garry Kilworth,2006-03-01T00:00:00Z,English,,fantasy,N
X Isle,Steve Augarde,2009-01-01T00:00:00Z,English,David Fickling Book,science fiction,N
The New Nobility: The Restoration of Russia's Security State and the Enduring Legacy of the KGB,Irina Borogan,2010-01-01T00:00:00Z,English,PublicAffairs,historiography,N
Breaking Open the Head,Daniel Pinchbeck,2002-01-01T00:00:00Z,English,Broadway Books,non-fiction,N
A Handbook of Disappointed Fate,Anne Boyer,2018-01-01T00:00:00Z,English,Ugly Duckling Presse,"essay, poetry",N
Farthest Reach,Richard Baker,2005-07-01T00:00:00Z,English,Wizards of the Coast,fantasy,N
Arms of Nemesis,Steven Saylor,1992-01-01T00:00:00Z,English,St. Martin's Press,"historical mystery, historical fiction",Y
The City,Dean Koontz,2014-01-01T00:00:00Z,English,Bantam Books,"horror fiction, thriller",N
It's Even Worse Than It Looks,Thomas E. Mann,2012-05-01T00:00:00Z,English,Basic Books,non-fiction,N
Empress Orchid,Anchee Min,2004-01-01T00:00:00Z,English,Bloomsbury Publishing,historical fiction,N
The Sirens of Surrentum,Caroline Lawrence,2006-03-03T00:00:00Z,English,Orion Publishing Group,historical fiction,Y
Red,Ted Dekker,2004-01-01T00:00:00Z,English,Thomas Nelson and Sons Ltd,"thriller, science fiction",Y
Odd Man Out: A Year on the Mound with a Minor League Misfit,Matt McCarthy,2009-01-01T00:00:00Z,English,Viking Press,memoir,N
Key Out of Time,Andre Norton,1963-01-01T00:00:00Z,English,,science fiction,N
A Random Walk Down Wall Street,Burton Malkiel,1973-01-01T00:00:00Z,English,W. W. Norton & Company,non-fiction,N
Rising Sun,Michael Crichton,1992-01-01T00:00:00Z,English,Alfred A. Knopf,"crime fiction, techno-thriller, thriller, science fiction",N
My First Summer in the Sierra,John Muir,1911-01-01T00:00:00Z,English,Houghton Mifflin Harcourt,"travel book, autobiography",N
"""The Boats of the """"Glen Carrig""""""",William Hope Hodgson,1907-01-01T00:00:00Z,English,Chapman and Hall London,"horror fiction, lost world fiction",N
The Hollow Man,Oliver Harris,2011-01-01T00:00:00Z,English,Jonathan Cape,crime,N
Melissa,Alex Gino,2015-08-25T00:00:00Z,English,Scholastic Corporation,LGBT literature,N
Helter Skelter,Vincent Bugliosi,1974-01-01T00:00:00Z,English,W. W. Norton & Company,true crime,N
Collected Poems in English,Joseph Brodsky,2000-01-01T00:00:00Z,English,,poetry,N
Unwilling Emigrants,Alexandra Hasluck,1959-01-01T00:00:00Z,English,Oxford University Press,historical non-fiction,N
The Freedom Trap,Desmond Bagley,1971-01-01T00:00:00Z,English,"William Collins, Sons",thriller,N
